id,pred
1,44098.10677
2,95567.29404
3,48583.50715
4,130572.2021
5,85768.81285
6,75530.979
7,34056.25465
8,87353.12175
9,67926.24281
10,134219.5856
11,64558.30937
12,92531.61909
13,104113.7827
14,67382.80531
15,48666.21374
16,75458.9307
17,80534.15672
18,108163.9858
19,95429.9506
20,54713.55862
21,141240.4401
22,100952.0035
23,98327.2446
24,57085.22144
25,109992.7494
26,91272.20593
27,64763.78955
28,53280.60542
29,88177.59712
30,96855.25666
31,-23093.47854
32,104936.0429
33,64135.45578
34,117063.294
35,134572.3995
36,115248.7568
37,77605.79777
38,72423.19411
39,65064.17018
40,67335.54099
41,100158.7061
42,49979.59652
43,64739.89183
44,63752.68688
45,78159.31836
46,130270.0335
47,214854.9918
48,59690.80845
49,33251.38938
50,125974.4727
51,67326.15779
52,97057.8889
53,43702.73806
54,112939.6764
55,69488.52217
56,114555.7775
57,99351.52335
58,102937.3303
59,93304.05247
60,14435.1122
61,137205.2451
62,107466.2557
63,111668.9607
64,97417.77906
65,69358.58138
66,80911.89349
67,96605.02618
68,120935.6421
69,56733.70226
70,-10760.16516
71,62095.76138
72,116680.4773
73,148894.6217
74,60078.59386
75,128116.1859
76,146682.088
77,87736.01989
78,47070.85174
79,68437.33006
80,93184.30566
81,68261.63534
82,101610.2224
83,100694.4297
84,84771.69334
85,111451.2598
86,96732.17526
87,132692.0453
88,119061.0549
89,67809.9051
90,112652.7392
91,86684.64106
92,98818.18857
93,37501.83535
94,58229.80687
95,104627.2153
96,59169.38444
97,103448.6236
98,47447.69526
99,123883.7983
100,107869.4773
101,78952.92286
102,96472.5681
103,103369.6834
104,87671.55653
105,70276.91297
106,88528.29468
107,128420.9325
108,113386.6336
109,118057.6993
110,79982.99277
111,71951.31594
112,61257.85905
113,50084.79407
114,117811.8052
115,126721.4878
116,85915.17865
117,39386.52946
118,132511.8485
119,74797.97971
120,30557.05417
121,61925.88724
122,125159.702
123,100122.9704
124,105248.4671
125,75605.42803
126,72273.55292
127,129273.6895
128,105100.9782
129,66400.19511
130,44227.40684
131,123921.3887
132,107189.1495
133,75522.13913
134,41745.25467
135,77137.95893
136,82208.09294
137,49030.55837
138,101852.9744
139,91545.38999
140,71340.73542
141,109772.915
142,133324.8183
143,126908.9754
144,102022.3167
145,132259.1152
146,104927.6777
147,113056.7589
148,112055.0924
149,101329.0482
150,86322.69019
151,105740.987
152,75839.87593
153,132310.584
154,127694.3908
155,123491.7453
156,46648.1331
157,71157.08299
158,88799.26198
159,40454.94503
160,112962.1503
161,100094.081
162,49107.41482
163,97947.95331
164,81497.35087
165,57454.18334
166,78829.37184
167,85105.59459
168,119205.8549
169,174446.8397
170,110480.4271
171,52459.50252
172,120601.8092
173,73926.22872
174,141656.8059
175,54009.29993
176,45108.50467
177,57991.20269
178,85157.46038
179,100330.5689
180,89045.0864
181,89321.03584
182,103012.309
183,116720.946
184,97928.08395
185,87755.81049
186,109804.3433
187,92782.63307
188,83776.49068
189,123788.7468
190,184472.5643
191,133178.6582
192,76268.94357
193,124974.0466
194,66188.32239
195,91800.85609
196,92558.97297
197,65473.73251
198,79807.80358
199,102256.46
200,79863.16443
201,201022.651
202,135037.2609
203,105062.5216
204,163971.6104
205,57387.5594
206,129816.2456
207,115663.305
208,149529.6157
209,77239.26799
210,75716.35388
211,133013.3317
212,96082.11626
213,26783.00202
214,51800.03245
215,99274.22577
216,131641.8912
217,112392.6374
218,106761.3845
219,72011.39946
220,74103.13145
221,62051.9737
222,96607.49019
223,92567.14855
224,90537.38233
225,183637.4687
226,89390.33555
227,121160.282
228,68775.83865
229,106397.7389
230,83899.9225
231,98841.31544
232,77961.9412
233,54690.90033
234,36332.29295
235,70680.17258
236,63618.62281
237,154996.3879
238,116745.2846
239,41140.91619
240,60783.39556
241,88307.93463
242,132900.0476
243,45368.77402
244,67536.32128
245,105046.9278
246,129910.6346
247,111529.9202
248,135524.9907
249,33818.1677
250,71518.6195
251,129183.1536
252,126154.804
253,101675.1648
254,70239.01678
255,62874.76186
256,50943.84877
257,105533.7426
258,32859.45248
259,10751.54803
260,64184.09897
261,34222.01655
262,86156.3766
263,67599.90985
264,118999.9348
265,78512.75744
266,51179.09206
267,74986.34184
268,105474.9487
269,76412.56851
270,51842.79019
271,92844.64405
272,25028.76359
273,116643.7564
274,41752.33706
275,49570.25854
276,79202.27329
277,107421.2262
278,113137.8217
279,119316.36
280,132442.7115
281,100709.4103
282,40064.16518
283,68595.43881
284,121024.046
285,100269.2424
286,153611.3472
287,149655.6056
288,100317.3906
289,107669.7984
290,58198.08969
291,98831.19834
292,31061.40583
293,111367.3908
294,64224.18498
295,26686.57928
296,13698.20906
297,120921.4985
298,107101.8717
299,89633.47153
300,102347.7238
301,92750.93773
302,8970.107932
303,96172.93754
304,99418.39027
305,55638.39953
306,74147.13087
307,48368.32176
308,118925.4949
309,76993.32354
310,117511.7754
311,114207.3829
312,113859.4507
313,133223.6548
314,73504.51691
315,85417.19753
316,140100.965
317,96465.95351
318,97915.63969
319,87100.20428
320,89273.47482
321,117062.4231
322,98647.84401
323,22136.59469
324,66914.86639
325,59332.83849
326,47774.63727
327,143707.7827
328,97558.47279
329,88916.11978
330,94563.57319
331,54033.67765
332,79399.20827
333,100847.4738
334,92155.61804
335,115107.7881
336,88331.68793
337,103976.2624
338,133635.4338
339,151745.6555
340,47370.7206
341,117239.3343
342,77056.87344
343,73185.02859
344,56771.30311
345,80458.53055
346,109691.6195
347,80048.71157
348,85009.23856
349,72851.94446
350,56238.92426
351,112035.3881
352,104198.1912
353,89395.8465
354,82885.66529
355,107255.8061
356,55891.62598
357,74206.80071
358,137098.2518
359,121882.7637
360,80572.05815
361,131606.8127
362,71807.14544
363,141685.0839
364,145865.0983
365,48139.25519
366,76222.67608
367,23513.06629
368,71178.2877
369,-8840.725542
370,111658.4404
371,114200.0265
372,59876.40266
373,150426.7686
374,65032.30071
375,86090.49618
376,59379.04395
377,97132.09609
378,86842.69516
379,88183.70089
380,47799.86989
381,42669.88156
382,90609.91242
383,150072.5653
384,38023.39373
385,92144.79117
386,60687.96405
387,100626.2607
388,115190.6432
389,113329.8436
390,79082.69825
391,14495.48423
392,144974.3014
393,141965.9655
394,89070.8728
395,29448.98378
396,47922.15906
397,70624.45029
398,85303.50624
399,39336.67193
400,52395.87762
401,112411.3818
402,97387.11022
403,131039.4848
404,71489.01729
405,23659.9528
406,50408.36683
407,76149.82513
408,144621.3643
409,116479.3716
410,136778.1862
411,94590.82233
412,103915.4677
413,49213.50161
414,97540.34545
415,78260.53443
416,79705.8874
417,-12947.4018
418,92827.85099
419,122922.9764
420,101803.4281
421,114778.7838
422,123215.8199
423,149099.7511
424,90891.33229
425,98015.86482
426,32744.14134
427,93124.85426
428,130493.7556
429,122860.9975
430,150180.9703
431,108047.5913
432,136445.5425
433,109955.517
434,38611.45556
435,98067.0701
436,129012.3184
437,109976.7141
438,78637.92733
439,142140.9118
440,83744.48928
441,91976.87876
442,86304.10218
443,90819.84562
444,79218.63726
445,58753.16115
446,79094.01719
447,86467.80199
448,126852.1665
449,106632.7286
450,90253.9362
451,96294.59733
452,172220.9523
453,91999.7902
454,90785.22529
455,112638.1616
456,102273.8653
457,71293.71157
458,144258.37
459,95636.3748
460,78686.53997
461,73379.88266
462,68396.60695
463,47882.54619
464,150426.9221
465,34385.2553
466,107456.9714
467,108326.2282
468,97026.52756
469,60399.50221
470,107225.777
471,54566.33074
472,119579.8166
473,142037.7789
474,69964.76164
475,115266.4687
476,78446.66103
477,109433.1946
478,112788.3897
479,113601.9766
480,91121.69054
481,84044.74815
482,86604.48349
483,69846.69416
484,112846.2459
485,33624.94487
486,77155.89636
487,66898.0909
488,119685.166
489,28076.9281
490,153708.8843
491,106729.2242
492,116354.2134
493,48980.11195
494,95138.46767
495,123770.3485
496,152139.4175
497,110193.5788
498,45255.51778
499,86076.94701
500,130857.7221
501,53984.12712
502,115130.1341
503,70472.04529
504,136528.6007
505,6265.604625
506,46254.84568
507,90771.63987
508,70223.38441
509,98400.89852
510,65841.84716
511,115897.6352
512,120125.9004
513,108793.735
514,92720.0069
515,104636.0016
516,113640.0754
517,-368.1855147
518,36336.07324
519,113508.012
520,138544.0355
521,58030.10478
522,100607.4279
523,104657.0985
524,25192.65189
525,22529.2435
526,69239.34857
527,125471.7626
528,134539.8825
529,8796.804203
530,101935.3851
531,117541.9856
532,99464.75006
533,84281.05841
