id,mpg
350,23.5145729
351,23.5145729
352,23.5145729
353,23.5145729
354,23.5145729
355,23.5145729
356,23.5145729
357,23.5145729
358,23.5145729
359,23.5145729
360,23.5145729
361,23.5145729
362,23.5145729
363,23.5145729
364,23.5145729
365,23.5145729
366,23.5145729
367,23.5145729
368,23.5145729
369,23.5145729
370,23.5145729
371,23.5145729
372,23.5145729
373,23.5145729
374,23.5145729
375,23.5145729
376,23.5145729
377,23.5145729
378,23.5145729
379,23.5145729
380,23.5145729
381,23.5145729
382,23.5145729
383,23.5145729
384,23.5145729
385,23.5145729
386,23.5145729
387,23.5145729
388,23.5145729
389,23.5145729
390,23.5145729
391,23.5145729
392,23.5145729
393,23.5145729
394,23.5145729
395,23.5145729
396,23.5145729
397,23.5145729
398,23.5145729
